colour,currency,image,name,offer_price,os_version,page_number,processor,ram,regular_price,rom,url
Breathing Crystal,AED,,Y9s Dual SIM Breathing Crystal 6GB RAM 128GB 4G LTE,259.0,Android 9(Pie),2,HiSilicon Kirin,6 GB,985.0,128 GB,https://www.noon.com/uae-en/y9s-dual-sim-breathing-crystal-6gb-ram-128gb-4g-lte/N39483724A/p/?o=c50cdbf8cc66e60c
Midnight Black,AED,https://f.nooncdn.com/p/pnsku/N70035014V/45/_/1706515769/e58f27d5-0acf-4f99-940d-15f7d4cce75a.jpg?format=jpg&width=240,Redmi Note 13 Pro Dual SIM Midnight Black 12GB RAM 512GB - Global Version,826.55,Android 13,2,,12 GB,938.5,512 GB,https://www.noon.com/uae-en/redmi-note-13-pro-dual-sim-midnight-black-12gb-ram-512gb-global-version/N70035013V/p/?o=fe7a5f8f5025be7d
Midnight Black,AED,https://f.nooncdn.com/p/pnsku/N70035014V/45/_/1706515769/e58f27d5-0acf-4f99-940d-15f7d4cce75a.jpg?format=jpg&width=240,Redmi Note 13 Pro Dual SIM Midnight Black 12GB RAM 512GB - Global Version,851.8,Android 13,2,,12 GB,938.5,512 GB,https://www.noon.com/uae-en/redmi-note-13-pro-dual-sim-midnight-black-12gb-ram-512gb-global-version/N70035013V/p/?o=b8bedcbf62bf78ab
Black,AED,https://f.nooncdn.com/p/pnsku/N70090554V/45/_/1720545394/e1f8875b-d82c-4af8-a004-429a26ce0ba9.jpg?format=jpg&width=240,215 Dual SIM Black 64MB RAM 128MB 4G - Middle East Version,160.0,,2,,64 MB,284.9,128 MB,https://www.noon.com/uae-en/215-dual-sim-black-64mb-ram-128mb-4g-middle-east-version/N70090554V/p/?o=c8f5e02a7f52f76a
Yellow,AED,https://f.nooncdn.com/p/pnsku/N70031133V/45/_/1713814402/8f2257ac-1ce6-4645-9e07-89b97ba762e7.jpg?format=jpg&width=240,POCO X6 Pro Dual SIM Yellow 12GB RAM 512GB 5G - Global Version,1057.4,Android 12,2,,12 GB,1349.0,512 GB,https://www.noon.com/uae-en/poco-x6-pro-dual-sim-yellow-12gb-ram-512gb-5g-global-version/N70031135V/p/?o=bd7fb48d73ded15e
Breathing Crystal,AED,,Y9s Dual SIM Breathing Crystal 6GB RAM 128GB 4G LTE,280.0,Android 9(Pie),2,HiSilicon Kirin 710F,6 GB,1099.0,128 GB,https://www.noon.com/uae-en/y9s-dual-sim-breathing-crystal-6gb-ram-128gb-4g-lte/N32046052A/p/?o=a99c52f92680af3f
Sunset Orange,AED,https://f.nooncdn.com/p/v1686137272/N53357160A_1.jpg?format=jpg&width=240,A77s Dual SIM Sunset Orange 8GB RAM 128GB 4G LTE - International Version,295.0,,2,,8 GB,699.0,128 GB,https://www.noon.com/uae-en/a77s-dual-sim-sunset-orange-8gb-ram-128gb-4g-lte-international-version/N53357189A/p/?o=c0e22d03c5f8e9bd
Yellow,AED,https://f.nooncdn.com/p/pnsku/N70031133V/45/_/1713814402/8f2257ac-1ce6-4645-9e07-89b97ba762e7.jpg?format=jpg&width=240,POCO X6 Pro Dual SIM Yellow 12GB RAM 512GB 5G - Global Version,1089.1,Android 12,2,,12 GB,1349.0,512 GB,https://www.noon.com/uae-en/poco-x6-pro-dual-sim-yellow-12gb-ram-512gb-5g-global-version/N70031135V/p/?o=c9807e9c14799e0c
Emerald Green,AED,https://f.nooncdn.com/p/pnsku/N70023280V/45/_/1725205548/a709d060-64ba-4a0c-951c-f85ce614ff30.jpg?format=jpg&width=240,X9b Dual SIM 5G Emerald Green 12GB RAM 256GB - International Version,919.0,,2,Qualcomm Snapdragon,12 GB,1299.0,256 GB,https://www.noon.com/uae-en/x9b-dual-sim-5g-emerald-green-12gb-ram-256gb-international-version/N70023280V/p/?o=dfaa9f9cb7ad290e
Cyan Lake,AED,https://f.nooncdn.com/p/pnsku/N53416577A/45/_/1721649521/05c0917f-622e-4643-9a8e-87af253131bb.jpg?format=jpg&width=240,90 Lite Dual Sim Cyan Lake 8GB RAM 256GB 5G - Middle East Version,602.0,,2,MediaTek Dimensity,8 GB,899.0,256 GB,https://www.noon.com/uae-en/90-lite-dual-sim-cyan-lake-8gb-ram-256gb-5g-middle-east-version/N53416577A/p/?o=cd834d850a17d72f
